consider: ห, transition to: CONSONANT
consider: อ, transition to: XC
consider: ม, transition to: XCC
consider: ร, transition to: END3
consider: อ, transition to: CONSONANT
consider: ม, transition to: XC
consider: ร, transition to: XCC
consider: ด, transition to: END3
consider: ม, transition to: CONSONANT
consider: ร, transition to: XC
consider: ด, transition to: XCC
consider: ก, transition to: END3
consider: ร, transition to: CONSONANT
consider: ด, transition to: XC
consider: ก, transition to: XCC
consider: ไ, transition to: END3
consider: ด, transition to: CONSONANT
consider: ก, transition to: XC
consider: ไ, transition to: END2
consider: ก, transition to: CONSONANT
consider: ไ, transition to: END1
consider: ไ, transition to: SARA_AI1
consider: ท, transition to: SARA_AI2
consider: ย, transition to: XC
consider:  , transition to: END2
consider: ย, transition to: CONSONANT
consider:  , transition to: CONSONANT
consider:  , transition to: CONSONANT
consider:  , transition to: CONSONANT
consider:  , transition to: CONSONANT
consider:  , transition to: CONSONANT
